frame_idx,timestamp,density,avg_speed_lane_0
1,0.030568485,0,0
2,0.06113697,0,0
3,0.091705455,0,0
4,0.12227394,0,0
5,0.152842425,0,0
6,0.18341091,0,0
7,0.213979395,3,0
8,0.244547881,3,0
9,0.275116366,3,0
10,0.305684851,3,5.355721056
11,0.336253336,3,1.633948553
12,0.366821821,3,0.94772648
13,0.397390306,3,0
14,0.427958791,3,0
15,0.458527276,3,3.413053712
16,0.489095761,3,2.026509714
17,0.519664246,3,0.392561161
18,0.550232731,3,0
19,0.580801216,3,0
20,0.611369701,3,5.899030093
21,0.641938186,3,2.026509714
22,0.672506671,3,0.94772648
23,0.703075156,3,0.392561161
24,0.733643642,3,0.392561161
25,0.764212127,3,11.0310173
26,0.794780612,3,3.708592235
27,0.825349097,3,1.755586885
28,0.855917582,3,0.555165319
29,0.886486067,3,0
30,0.917054552,3,9.917419557
31,0.947623037,3,3.96448283
32,0.978191522,3,0.94772648
33,1.008760007,3,0.785122323
34,1.039328492,3,0.392561161
35,1.069896977,3,10.14848303
36,1.100465462,3,3.636060671
37,1.131033947,3,1.432958761
38,1.161602432,3,0
39,1.192170917,3,0
40,1.222739403,2,15.29268369
41,1.253307888,2,5.946724245
42,1.283876373,2,1.665495956
43,1.314444858,2,1.177683484
44,1.345013343,2,0
45,1.375581828,2,11.83798743
46,1.406150313,2,4.853610902
47,1.436718798,2,1.42158972
48,1.467287283,2,1.177683484
49,1.497855768,2,0
50,1.528424253,2,7.437157064
51,1.558992738,2,4.806289797
52,1.589561223,2,1.766525227
53,1.620129708,2,1.316690163
54,1.650698193,2,1.862081087
55,1.681266678,2,5.067307805
56,1.711835164,2,1.905531906
57,1.742403649,2,0
58,1.772972134,2,0.588841742
59,1.803540619,2,0.588841742
60,1.834109104,2,12.3122919
61,1.864677589,2,4.348693311
62,1.895246074,2,2.149438141
63,1.925814559,2,0.588841742
64,1.956383044,2,0
65,1.986951529,2,9.141685537
66,2.017520014,2,3.95007049
67,2.048088499,2,0.588841742
68,2.078656984,2,1.42158972
69,2.109225469,2,0
70,2.139793954,2,5.443865572
71,2.170362439,2,2.494373648
72,2.200930925,2,0.588841742
73,2.23149941,2,0
74,2.262067895,2,0
75,2.29263638,2,9.081694751
76,2.323204865,2,3.744546863
77,2.35377335,2,1.177683484
78,2.384341835,2,0.588841742
79,2.41491032,2,0
80,2.445478805,2,7.128841741
81,2.47604729,2,2.694829064
82,2.506615775,2,1.42158972
83,2.53718426,2,0.588841742
84,2.567752745,2,0
85,2.59832123,2,8.471556072
86,2.628889715,2,3.300782579
87,2.6594582,2,1.665495956
88,2.690026686,2,0
89,2.720595171,2,0
90,2.751163656,2,12.25771471
91,2.781732141,2,3.889624321
92,2.812300626,2,2.355366969
93,2.842869111,2,0
94,2.873437596,2,0
95,2.904006081,2,16.27390129
96,2.934574566,2,5.946724245
97,2.965143051,2,2.633380327
98,2.995711536,2,0
99,3.026280021,2,0.588841742
100,3.056848506,2,3.466128305
101,3.087416991,2,1.766525227
102,3.117985476,2,0.588841742
103,3.148553962,2,0.588841742
104,3.179122447,2,0
105,3.209690932,2,7.026857726
106,3.240259417,2,2.149438141
107,3.270827902,2,1.42158972
108,3.301396387,2,0.832747978
109,3.331964872,2,0.588841742
110,3.362533357,2,5.067307805
111,3.393101842,2,1.905531906
112,3.423670327,2,0.588841742
113,3.454238812,2,0
114,3.484807297,2,0
115,3.515375782,2,5.295588959
116,3.545944267,2,2.633380327
117,3.576512752,3,0.832747978
118,3.607081237,3,0.392561161
119,3.637649723,3,0
120,3.668218208,3,8.727696947
121,3.698786693,3,3.511173769
122,3.729355178,3,0.94772648
123,3.759923663,3,0.392561161
124,3.790492148,3,0.392561161
125,3.821060633,4,3.910559261
126,3.851629118,4,2.788794519
127,3.882197603,4,1.316690163
128,3.912766088,4,0.588841742
129,3.943334573,4,0.658345082
130,3.973903058,4,5.41168381
131,4.004471543,4,2.149438141
132,4.035040028,4,1.716010591
133,4.065608513,4,0.416373989
134,4.096176998,4,0.658345082
135,4.126745484,4,4.107622425
136,4.157313969,4,1.665495956
137,4.187882454,4,1.247186824
138,4.218450939,4,0.416373989
139,4.249019424,4,0.832747978
140,4.279587909,5,5.348584803
141,4.310156394,5,2.523723098
142,4.340724879,5,1.663947841
143,4.371293364,5,0.997749459
144,4.401861849,5,0.333099191
145,4.432430334,5,5.334425507
146,4.462998819,5,2.312765896
147,4.493567304,5,1.566385347
148,4.524135789,5,1.137271776
149,4.554704274,5,0.568635888
150,4.585272759,5,4.222788714
151,4.615841245,5,1.784541716
152,4.64640973,6,1.372808473
153,4.676978215,6,0.555165319
154,4.7075467,6,0.635177302
155,4.738115185,5,1.33084865
156,4.76868367,5,1.039709282
157,4.799252155,5,0.333099191
158,4.82982064,5,0
159,4.860389125,5,0.235536697
160,4.89095761,5,2.68846616
161,4.921526095,5,1.137271776
162,4.95209458,5,0.706610091
163,4.982663065,5,0.568635888
164,5.01323155,5,0.235536697
165,5.043800035,5,1.621988019
166,5.07436852,5,0.804172585
167,5.104937006,5,0.997749459
168,5.135505491,5,0.235536697
169,5.166073976,5,0.568635888
170,5.196642461,5,7.462362683
171,5.227210946,5,1.468822853
172,5.257779431,5,0
173,5.288347916,5,0.471073394
174,5.318916401,5,0.235536697
175,5.349484886,5,4.769767024
176,5.380053371,5,1.944551591
177,5.410621856,5,0.804172585
178,5.441190341,5,0.471073394
179,5.471758826,5,0
180,5.502327311,5,3.427006291
181,5.532895796,5,1.663947841
182,5.563464281,5,0.471073394
183,5.594032767,5,0
184,5.624601252,5,0
185,5.655169737,4,4.367689108
186,5.685738222,4,1.837963709
187,5.716306707,5,1.127168849
188,5.746875192,5,0.901735079
189,5.777443677,5,1.095311953
190,5.808012162,5,9.859278941
191,5.838580647,5,2.603905265
192,5.869149132,5,1.428411145
193,5.899717617,5,0
194,5.930286102,5,0
195,5.960854587,5,6.047703906
196,5.991423072,5,2.652709796
197,6.021991557,5,1.275245979
198,6.052560043,5,0.471073394
199,6.083128528,5,0
200,6.113697013,5,6.70289186
201,6.144265498,5,2.405089366
202,6.174833983,5,1.275245979
203,6.205402468,5,0.235536697
204,6.235970953,5,0.942146787
205,6.266539438,5,7.204533981
206,6.297107923,5,2.584976823
207,6.327676408,5,1.372808473
208,6.358244893,5,0.235536697
209,6.388813378,5,0
210,6.419381863,5,5.631555481
211,6.449950348,5,2.471227657
212,6.480518833,5,1.039709282
213,6.511087318,5,0.706610091
214,6.541655804,5,0.471073394
215,6.572224289,5,5.395747352
216,6.602792774,5,1.815564893
217,6.633361259,5,1.566385347
218,6.663929744,5,0.762212762
219,6.694498229,5,0.762212762
220,6.725066714,5,6.759160423
221,6.755635199,5,3.176278631
222,6.786203684,5,1.275245979
223,6.816772169,5,1.137271776
224,6.847340654,5,0.568635888
225,6.877909139,5,5.589889015
226,6.908477624,5,2.190623907
227,6.939046109,5,1.428411145
228,6.969614594,5,1.23483427
229,7.000183079,5,0.333099191
230,7.030751565,6,4.935257909
231,7.06132005,6,2.103102582
232,7.091888535,6,1.027738463
233,7.12245702,6,0.831457883
234,7.153025505,6,0.47386324
235,7.18359399,6,5.997453209
236,7.214162475,6,2.486884061
237,7.24473096,7,2.139359196
238,7.275299445,7,0.742649487
239,7.30586793,7,0.920634877
240,7.336436415,7,5.292824033
241,7.3670049,7,1.80155356
242,7.397573385,7,1.049159181
243,7.42814187,7,0.712678185
244,7.458710355,7,0.574408989
245,7.48927884,6,7.129746978
246,7.519847326,6,2.283609461
247,7.550415811,6,1.536568222
248,7.580984296,6,0.196280581
249,7.611552781,6,0.196280581
250,7.642121266,6,3.165368415
251,7.672689751,6,1.466635184
252,7.703258236,6,0.785122323
253,7.733826721,6,0.670143821
254,7.764395206,6,0.196280581
255,7.794963691,6,6.857333966
256,7.825532176,6,2.333059586
257,7.856100661,6,0.785122323
258,7.886669146,6,0.277582659
259,7.917237631,6,0.196280581
260,7.947806116,6,6.072090739
261,7.978374601,6,2.286724026
262,8.008943087,6,1.224019044
263,8.039511572,6,0.392561161
264,8.070080057,6,0.392561161
265,8.100648542,6,9.150396081
266,8.131217027,6,2.238563996
267,8.161785512,7,1.062704982
268,8.192353997,7,0.336480996
269,8.222922482,7,0.168240498
270,8.253490967,8,4.831473257
271,8.284059452,8,1.876830161
272,8.314627937,8,0.858005296
273,8.345196422,8,0.476382976
274,8.375764907,8,0.208186994
275,8.406333392,8,4.070652093
276,8.436901877,8,1.897972696
277,8.467470362,8,1.187177836
278,8.498038848,8,0.649818301
279,8.528607333,8,0.35539743
280,8.559175818,8,3.587316451
281,8.589744303,8,1.06619229
282,8.620312788,8,1.273411713
283,8.650881273,8,0.649818301
284,8.681449758,8,0.588841742
285,8.712018243,8,3.874943085
286,8.742586728,8,1.160952947
287,8.773155213,8,0.918014283
288,8.803723698,8,0.294420871
289,8.834292183,8,0.35539743
290,8.864860668,8,4.986676071
291,8.895429153,8,1.384502126
292,8.925997638,8,0.978990842
293,8.956566124,8,0.649818301
294,8.987134609,8,0.441631307
295,9.017703094,8,4.154432784
296,9.048271579,8,1.348782885
297,9.078840064,8,0.918981854
298,9.109408549,8,0.147210436
299,9.139977034,8,0.147210436
300,9.170545519,7,4.327372618
301,9.201114004,7,1.204985159
302,9.231682489,7,1.148817978
303,9.262250974,7,0
304,9.292819459,7,0.406168491
305,9.323387944,7,4.030492008
306,9.353956429,7,1.553880674
307,9.384524914,7,1.55498647
