frame_idx,timestamp,density_lane_0,avg_speed_lane_0,density
1,0.030568485063171565,0,0.0,0
2,0.06113697012634313,0,0.0,0
3,0.09170545518951469,0,0.0,0
4,0.12227394025268626,0,0.0,0
5,0.15284242531585782,0,0.0,0
6,0.18341091037902937,0,0.0,0
7,0.21397939544220096,3,0.0,3
8,0.24454788050537252,3,0.0,3
9,0.2751163655685441,3,0.0,3
10,0.30568485063171563,3,5.355721056133286,3
11,0.3362533356948872,3,1.6339485525305382,3
12,0.36682182075805875,3,0.9477264800204453,3
13,0.3973903058212303,3,0.0,3
14,0.4279587908844019,3,0.0,3
15,0.4585272759475735,3,3.4130537121560134,3
16,0.48909576101074503,3,2.026509713975121,3
17,0.5196642460739166,3,0.3925611614445825,3
18,0.5502327311370881,3,0.0,3
19,0.5808012162002597,3,0.0,3
20,0.6113697012634313,3,5.8990300929508805,3
21,0.6419381863266028,3,2.026509713975121,3
22,0.6725066713897744,3,0.9477264800204453,3
23,0.7030751564529459,3,0.3925611614445825,3
24,0.7336436415161175,3,0.3925611614445825,3
25,0.764212126579289,3,11.031017296806686,3
26,0.7947806116424606,3,3.708592235004635,3
27,0.8253490967056323,3,1.755586884632712,3
28,0.8559175817688038,3,0.5551653185758628,3
29,0.8864860668319754,3,0.0,3
30,0.917054551895147,3,9.917419556599343,3
31,0.9476230369583185,3,3.9644828297074866,3
32,0.9781915220214901,3,0.9477264800204453,3
33,1.0087600070846616,3,0.785122322889165,3
34,1.0393284921478332,3,0.3925611614445825,3
35,1.0698969772110047,3,10.148483030284197,3
36,1.1004654622741763,3,3.636060670647591,3
37,1.1310339473373479,3,1.4329587608922187,3
38,1.1616024324005194,3,0.0,3
39,1.192170917463691,3,0.0,3
40,1.2227394025268625,2,15.292683689575355,2
41,1.253307887590034,2,5.94672424456123,2
42,1.2838763726532056,2,1.6654959557275884,2
43,1.3144448577163772,2,1.1776834843337474,2
44,1.3450133427795488,2,0.0,2
45,1.3755818278427203,2,11.83798742854973,2
46,1.4061503129058919,2,4.853610902258877,2
