frame_idx,timestamp,density,avg_speed_lane_0
1,0.033333333,0,0
2,0.066666667,0,0
3,0.1,0,0
4,0.133333333,0,0
5,0.166666667,0,0
6,0.2,0,0
7,0.233333333,12,0
8,0.266666667,12,0
9,0.3,12,0
10,0.333333333,12,3.461337933
11,0.366666667,12,1.271609118
12,0.4,13,0.937279221
13,0.433333333,13,0
14,0.466666667,13,0.083076923
15,0.5,13,2.980398344
16,0.533333333,13,1.178059006
17,0.566666667,13,1.002827172
18,0.6,13,0.366719281
19,0.633333333,13,0.332307692
20,0.666666667,13,3.616461756
21,0.7,13,1.20765858
22,0.733333333,13,1.085904095
23,0.766666667,13,0.401130869
24,0.8,13,0.166153846
25,0.833333333,13,3.230674316
26,0.866666667,13,1.285923489
27,0.9,13,0.802261738
28,0.933333333,13,0.318053946
29,0.966666667,13,0.415384615
30,1,12,4.09015436
31,1.033333333,12,1.634716315
32,1.066666667,12,1.079163431
33,1.1,12,0.397279221
34,1.133333333,12,0.18
35,1.166666667,13,4.57462182
36,1.2,13,3.21879694
37,1.233333333,13,1.602467308
38,1.266666667,13,0.435542457
39,1.3,13,0.366719281
40,1.333333333,16,4.644994261
41,1.366666667,16,3.042399028
42,1.4,16,1.537449821
43,1.433333333,16,0.511413158
44,1.466666667,16,0.3375
45,1.5,14,4.462561113
46,1.533333333,13,2.791648559
47,1.566666667,13,1.909969557
48,1.6,13,1.7715304
49,1.633333333,13,1.704406236
50,1.666666667,15,7.764072917
51,1.7,15,2.980068787
52,1.733333333,16,2.128861035
53,1.766666667,16,1.489945193
54,1.8,16,1.732278414
55,1.833333333,16,5.019231051
56,1.866666667,17,2.86078159
57,1.9,17,2.219109005
58,1.933333333,17,1.828578491
59,1.966666667,17,1.861738229
60,2,17,4.853859333
61,2.033333333,17,2.946687865
62,2.066666667,17,2.462149382
63,2.1,17,2.311243538
64,2.133333333,17,2.299197568
65,2.166666667,16,12.32083058
66,2.2,16,2.547512623
67,2.233333333,16,2.43109874
68,2.266666667,16,1.684889474
69,2.3,16,1.855490224
70,2.333333333,16,8.665877147
71,2.366666667,16,2.581635992
72,2.4,16,1.891649511
73,2.433333333,16,1.522129313
74,2.466666667,16,1.61907464
75,2.5,14,11.46110711
76,2.533333333,14,1.335121904
77,2.566666667,17,0.74445029
78,2.6,17,0.471020626
79,2.633333333,17,0.407491215
80,2.666666667,17,10.65061149
81,2.7,17,4.155887353
82,2.733333333,18,1.770363441
83,2.766666667,18,0.494164079
84,2.8,18,0.48
85,2.833333333,18,5.449882822
86,2.866666667,18,2.585526341
87,2.9,18,2.007350647
88,2.933333333,18,1.226850596
89,2.966666667,18,1.166992945
90,3,18,3.454877039
91,3.033333333,18,2.095573116
92,3.066666667,18,1.466992945
93,3.1,18,1.09630421
94,3.133333333,18,1.022140131
95,3.166666667,18,4.52885619
96,3.2,18,2.382886599
97,3.233333333,18,1.918233765
98,3.266666667,18,1.202140131
99,3.3,18,1.421014675
100,3.333333333,17,4.953451175
101,3.366666667,17,2.388106631
102,3.4,18,2.245574428
103,3.433333333,18,1.742140131
104,3.466666667,18,1.27630421
105,3.5,18,9.198002515
106,3.533333333,18,2.780720597
107,3.566666667,17,1.16676506
108,3.6,17,0.867194357
109,3.633333333,17,0.575862042
110,3.666666667,15,8.606288898
111,3.7,15,1.605315345
112,3.733333333,15,0.982820271
113,3.766666667,15,0.737470129
114,3.8,15,0.533823376
115,3.833333333,14,3.141470688
116,3.866666667,14,1.38528648
117,3.9,15,1.053528756
118,3.933333333,15,0.622820271
119,3.966666667,15,0.461823376
120,4,15,3.003303202
121,4.033333333,15,1.419937153
122,4.066666667,15,0.779646753
123,4.1,15,0.317823376
124,4.133333333,15,0.36
125,4.166666667,14,7.39331098
126,4.2,14,1.257979047
127,4.233333333,14,0.944432282
128,4.266666667,14,0.603907235
